Dates,Links
Daily Price Report - 02 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231002e.pdf
Daily Price Report - 27 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230927_e.pdf
Daily Price Report - 26 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230926.pdf
Daily Price Report - 25 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230925_e.pdf
Daily Price Report - 22 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230922_e.pdf
Daily Price Report - 21 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230921.pdf
Daily Price Report - 20 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230920.pdf
Daily Price Report - 19 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230919e.pdf
Daily Price Report - 18 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230918_e_0.pdf
Daily Price Report - 15 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230915_e.pdf
Daily Price Report - 14 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230914_e.pdf
Daily Price Report - 13 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230913_e.pdf
Daily Price Report - 12 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230912_e.pdf
Daily Price Report - 11 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230911_e.pdf
Daily Price Report - 08 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230908.pdf
Daily Price Report - 07 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230907.pdf
Daily Price Report - 06 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230906_e.pdf
Daily Price Report - 05 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230905_e.pdf
Daily Price Report - 04 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230904_e.pdf
Daily Price Report - 01 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230901_e.pdf
Daily Price Report - 31 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230831_e.pdf
Daily Price Report - 29 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230829_e.pdf
Daily Price Report - 28 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230828.pdf
Daily Price Report - 25 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230825_e.pdf
Daily Price Report - 24 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20200824e_0.pdf
Daily Price Report - 23 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230823_e.pdf
Daily Price Report - 22 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230822_e.pdf
Daily Price Report - 21 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230821e.pdf
Daily Price Report - 18 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230818_e.pdf
Daily Price Report - 17 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230817_e.pdf
Daily Price Report - 16 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230816e.pdf
Daily Price Report - 15 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230815_e.pdf
Daily Price Report - 14 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230814_e.pdf
Daily Price Report - 11 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230811.pdf
Daily Price Report - 10 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230810.pdf
Daily Price Report - 09 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230809.pdf
Daily Price Report - 08 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230808.pdf
Daily Price Report - 07 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230807_e.pdf
Daily Price Report - 04 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230804.pdf
Daily Price Report - 03 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230803_e.pdf
Daily Price Report - 02 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230802_e.pdf
Daily Price Report - 31 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230731.pdf
Daily Price Report - 28 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230728e.pdf
Daily Price Report - 27 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230727_e.pdf
Daily Price Report - 26 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230726_e.pdf
Daily Price Report - 25 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230725.pdf
Daily Price Report - 24 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230724_e.pdf
Daily Price Report - 21 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230721_e.pdf
Daily Price Report - 20 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230720.pdf
Daily Price Report - 19 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230719_e.pdf
Daily Price Report - 18 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230718_e.pdf
Daily Price Report - 17 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230717_e.pdf
Daily Price Report - 14 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230714_e.pdf
Daily Price Report - 13 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230713_e.pdf
Daily Price Report - 12 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230712_e.pdf
Daily Price Report - 11 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230711_e.pdf
Daily Price Report - 10 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230710.pdf
Daily Price Report - 07 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230707_e.pdf
Daily Price Report - 06 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230706_e.pdf
Daily Price Report - 05 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230705_e.pdf
Daily Price Report - 04 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230704.pdf
Daily Price Report - 28 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230628_e.pdf
Daily Price Report - 27 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230627_e.pdf
Daily Price Report - 26 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230626.pdf
Daily Price Report - 23 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230623.pdf
Daily Price Report - 22 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230622.pdf
Daily Price Report - 21 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230621_e.pdf
Daily Price Report - 20 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230620_e.pdf
Daily Price Report - 19 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230619_e.pdf
Daily Price Report - 16 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230616_e.pdf
Daily Price Report - 15 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230615_e.pdf
Daily Price Report - 14 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230614_e.pdf
Daily Price Report - 13 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230613_e.pdf
Daily Price Report - 12 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230612_e.pdf
Daily Price Report - 09 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230609.pdf
Daily Price Report - 08 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230608.pdf
Daily Price Report - 07 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230607.pdf
Daily Price Report - 06 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230606_e0.pdf
Daily Price Report - 05 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230605_e.pdf
Daily Price Report - 02 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230602_e.pdf
Daily Price Report - 01 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230601_e.pdf
Daily Price Report - 31 May 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230531_e.pdf
Daily Price Report - 30 May 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230530_e.pdf
Daily Price Report - 29 May 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230529.pdf
Daily Price Report - 26 May 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230526.pdf
Daily Price Report - 25 May 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230525.pdf
Daily Price Report - 24 May 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230524_e.pdf
Daily Price Report - 23 May 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230523_e.pdf
Daily Price Report - 22 May 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230522.pdf
Daily Price Report - 19 May 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230519.pdf
